,Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Month,Year,URL,Number of additional authors,Non-English,Interdisciplinary,Forensic science,Criminology,Propose double weighting,Is reserve output,Research group,Open access status,Citations applicable,Citation count,Cross-referral requested,Supplementary information,Delayed by COVID19,REF2ID,Incl sig material before 2014,Incl reseach process,Incl factual info about significance
174168,10007764,Heriot-Watt University,B,11,Computer Science and Informatics,,,,E,Triangulating context lemmas,,,CPP 2018: Proceedings of the 7th ACM SIGPLAN International Conference on Certified Programs and Proofs,,,102,,,,10.1145/3167081,,January,2018.0,,2.0,,,,,,,,,Yes,,,,,a37d0e09-3817-45d9-8875-5b0c6d6fe993,0,0,1
174178,10007850,The University of Bath,B,11,Computer Science and Informatics,,,,D,Triangulations of monotone families I : two-dimensional families,,,Proceedings of the London Mathematical Society,111,5,1013,,,0024-6115,10.1112/plms/pdv052,,November,2015.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,2.0,,,,f5e2fd36-ec87-4d05-bdf9-231db6845a32,0,0,1
174230,10007807,University of Ulster,B,11,Computer Science and Informatics,,,,D,Tri-directional Gradient Operators for Hexagonal Image Processing,,,Journal of Visual Communication and Image Representation,38,,614,,,1047-3203,10.1016/j.jvcir.2016.04.001,,April,2016.0,,2.0,,,,,,,A - Intelligent Systems Research Centre,Compliant,Yes,5.0,,,,c23a1c94-0833-4929-bf9e-c26a2bd90a4c,0,0,1
174256,10007789,The University of East Anglia,B,11,Computer Science and Informatics,,,,D,TriLoNet: Piecing together small networks to reconstruct reticulate evolutionary histories,,,Molecular Biology and Evolution,33,8,2151,,,0737-4038,10.1093/molbev/msw068,,August,2016.0,https://www.uea.ac.uk/computing/TriLoNet,3.0,,Yes,,,,,,Out of scope for open access requirements,Yes,10.0,,,,f8d118e6-c00b-43ac-9aab-ce42de040acb,0,0,1
174318,10007790,University of Edinburgh,B,11,Computer Science and Informatics,,,,D,Triviality Arguments Reconsidered,,,Minds and machines,29,2,287,,,1572-8641,10.1007/s11023-019-09501-x,,May,2019.0,,0.0,,,,,,,"D - Language, Interaction and Robotics",Compliant,Yes,2.0,,,,468fba27-bba0-4732-8106-230fbbc6619a,0,0,1
174421,10005500,Robert Gordon University,B,11,Computer Science and Informatics,,,,D,"Truck and trailer scheduling in a real world, dynamic and heterogeneous context.",,,Transportation Research Part E: Logistics and Transportation Review,93,,389,,,1366-5545,10.1016/j.tre.2016.06.010,Exception,July,2016.0,,,,,,,,,,Access exception,Yes,3.0,,,,73e9303e-9e83-402d-89a9-af999dc4e29f,0,0,1
174425,10007160,The University of Surrey,B,11,Computer Science and Informatics,,,,D,True Concurrency in Long-running Transactions for Digital Ecosystems,,,Fundamenta Informaticae,138,4,483,,,0169-2968,10.3233/FI-2015-1222,,,2015.0,,,,,,,,,,Out of scope for open access requirements,Yes,6.0,,,,2370c99b-317c-453e-b3f5-3a79d93dbc96,0,0,1
174467,10001883,De Montfort University,B,11,Computer Science and Informatics,,,,D,Trust based consensus model for social network in an incomplete linguistic information context,,Elsevier BV,Applied Soft Computing,35,,827,,,1568-4946,10.1016/j.asoc.2015.02.023,,February,2015.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,197.0,,,,0c1229fe-e9eb-4d02-9151-deda0eb2f656,0,0,1
174470,10003957,Liverpool John Moores University,B,11,Computer Science and Informatics,,,,D,Trust Evaluation Mechanism for User Recruitment in Mobile Crowd-Sensing in the Internet of Things,,,IEEE Transactions on Information Forensics and Security,14,10,2705,,,1556-6013,10.1109/tifs.2019.2903659,,March,2019.0,,1.0,,,,,,,,Compliant,Yes,10.0,,,,1fb6fbee-7369-4c5c-937b-2807e9aa49f5,0,0,1
174489,10007150,The University of Kent,B,11,Computer Science and Informatics,,,,D,Trust Management for Public Key Infrastructures: Implementing the X.509 Trust Broker,,,Security and Communication Networks,2017,690714,1,6907146,,1939-0114,10.1155/2017/6907146,,February,2017.0,https://kar.kent.ac.uk/60311/,6.0,,,,,,,,Compliant,Yes,0.0,,,,f7d0421c-8b0c-4f7b-bf68-b43dc00be344,0,0,1
174498,10007799,University of Newcastle upon Tyne,B,11,Computer Science and Informatics,,,,D,"Trust, Identity, Privacy, and Security Considerations for Designing a Peer Data Sharing Platform Between People Living With HIV",,,Proceedings of the ACM on Human-Computer Interaction,4,,1,,,2573-0142,10.1145/3415244,,October,2020.0,https://doi.org/10.1145/3415244,7.0,,Yes,,,,,C - Open Lab,Compliant,Yes,,,,,69134f9f-e44e-492c-a38f-6a86bbeeddf5,0,0,1
174505,10007156,"University of Salford, The",B,11,Computer Science and Informatics,,,,D,Trust-based secure clustering in WSN-based intelligent transportation systems,,,Computer Networks,146,,151,,,1389-1286,10.1016/j.comnet.2018.09.015,,September,2018.0,,3.0,,,,,,,,Compliant,Yes,33.0,,,,a0cc5ab2-151a-4a90-a5b8-286a09c04415,0,0,0
174531,10007803,University of St Andrews,B,11,Computer Science and Informatics,,,,D,Truth discovery in crowdsourced detection of spatial events,,,IEEE Transactions on Knowledge and Data Engineering,28,4,1047,,,1041-4347,10.1109/TKDE.2015.2504928,,December,2015.0,,3.0,,,,,,,A - Artificial Intelligence,Out of scope for open access requirements,Yes,23.0,,,,6a9470d9-789f-4452-ae7e-1c5ec693a2bf,0,0,1
174532,10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,,D,Truth Discovery in Crowdsourced Detection of Spatial Events,,,IEEE Transactions on Knowledge and Data Engineering,28,4,1047,,,1041-4347,10.1109/TKDE.2015.2504928,,December,2015.0,,3.0,,,,,,,,Out of scope for open access requirements,Yes,23.0,,,,ea2252c6-521d-43b0-a420-95822b1f8a2f,0,0,1
174533,10007158,University of Southampton,B,11,Computer Science and Informatics,,,,D,Truth discovery in crowdsourced detection of spatial events,,,IEEE Transactions on Knowledge and Data Engineering,28,4,1047,7345583,,1041-4347,10.1109/TKDE.2015.2504928,,December,2015.0,,3.0,,,,,,,,Out of scope for open access requirements,Yes,23.0,,,,370d27be-ffc1-4117-b81b-ed5c097c5196,0,0,1
174546,10006842,The University of Liverpool,B,11,Computer Science and Informatics,,,,E,Truthful Mechanisms for Multi Agent Self-Interested Correspondence Selection,,,"SEMANTIC WEB - ISWC 2019, PT I",11778,,733,,,0302-9743,10.1007/978-3-030-30793-6_42,,October,2019.0,,3.0,,,,,,,,Compliant,Yes,0.0,,,,4f22e828-a446-4320-a0b7-fa78ab233578,0,0,1
174576,10007143,University of Durham,B,11,Computer Science and Informatics,,,,D,TSFC: A Structure-Preserving Form Compiler,,,SIAM Journal on Scientific Computing,40,3,C401,,,10648275,10.1137/17M1130642,,,2018.0,https://doi.org/10.1137/17M1130642,3.0,,,,,,,A - Innovative Computing,Compliant,Yes,16.0,,,,cf8d6cfa-1528-4e1e-be20-0e4580d54f13,0,0,1
174594,10007814,Cardiff University / Prifysgol Caerdydd,B,11,Computer Science and Informatics,,,,D,TTL-IQA: transitive transfer learning based no-reference image quality assessment,,,IEEE Transactions on Multimedia,0,,0,,,1520-9210,10.1109/TMM.2020.3040529,,November,2020.0,http://dx.doi.org/10.1109/TMM.2020.3040529,2.0,,,,,,,V - Visual computing,Compliant,Yes,,,,,db7300ee-46f9-4988-bb65-65ffff39c17c,0,0,1
174723,10007792,University of Exeter,B,11,Computer Science and Informatics,,,,D,Tuning the Aggressive TCP Behavior for Highly Concurrent HTTP Connections in Intra-Datacenter,,,IEEE/ACM Transactions on Networking,25,6,3808,,,1063-6692,10.1109/TNET.2017.2759300,,October,2017.0,,5.0,,,,,,,,Not compliant,Yes,17.0,,,,c68596a5-c242-47e8-8825-cf8a8202e173,0,0,1
174793,10007805,University of Strathclyde,B,11,Computer Science and Informatics,,,,E,Turing-completeness totally free,,,"Mathematics of Program Construction : 12th International Conference, MPC 2015, Königswinter, Germany, June 29--July 1, 2015. Proceedings",9129,,257,,,0302-9743,10.1007/978-3-319-19797-5_13,,June,2015.0,,0.0,,,,,,,,Out of scope for open access requirements,Yes,7.0,,,,81a30c32-b318-4cf7-85e3-8b055f748636,0,0,0
174846,10005790,Sheffield Hallam University,B,11,Computer Science and Informatics,,,,D,Tweet for behavior change: Using social media for the dissemination of public health messages,,,JMIR public health and surveillance,3,1,e14,,,2369-2960,10.2196/publichealth.6313,,March,2017.0,,10.0,,,,,,,,Compliant,Yes,,,,,c48b057a-7556-4f2c-8335-b59e0a17f28a,0,0,1
174849,10007814,Cardiff University / Prifysgol Caerdydd,B,11,Computer Science and Informatics,,,,D,Tweeting the terror: modelling the social media reaction to the Woolwich terrorist attack,,,Social Network Analysis and Mining,4,,,206,,1869-5450,10.1007/s13278-014-0206-4,,June,2014.0,https://doi.org/10.1007/s13278-014-0206-4,8.0,,Yes,,,,,"C - Cybersecurity, privacy and human centred computing",Out of scope for open access requirements,Yes,90.0,,,,35c8e3ed-71f9-4891-8869-3c99374f34db,0,0,1
174912,10007775,Queen Mary University of London,B,11,Computer Science and Informatics,,,,D,Twitter language use reflects psychological differences between Democrats and Republicans,,,PLoS One,10,9,e0137422,ARTN e0137422,,1932-6203,10.1371/journal.pone.0137422,,September,2015.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,50.0,,,,6f9cc0e0-408e-4fcb-b2ce-bc6b2a44d819,0,0,1
174913,10004180,Manchester Metropolitan University,B,11,Computer Science and Informatics,,,,D,Twitter permeability to financial events: an experiment towards a model for sensing irregularities,,,Multimedia Tools and Applications,78,7,9217,,,1380-7501,10.1007/s11042-018-6388-4,,August,2018.0,https://e-space.mmu.ac.uk/621082/,4.0,,,,,,,C - Machine Intelligence,Compliant,Yes,6.0,,,,7c23ec62-64b3-4baf-89f0-3a2b007b0192,0,0,1
174966,10007784,University College London,B,11,Computer Science and Informatics,,,,D,Two fully discrete schemes for fractional diffusion and diffusion wave equations with nonsmooth data,,,SIAM Journal on Scientific Computing,38,1,A146,,,1095-7197,10.1137/140979563,,January,2016.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,127.0,,,,8733661c-dec1-4545-97fb-cadf30e0e298,0,0,1
175010,10007143,University of Durham,B,11,Computer Science and Informatics,,,,D,Two Particle-in-Grid Realisations on Spacetrees,,,Parallel Computing,52,,42,,,01678191,10.1016/j.parco.2015.12.007,,,2016.0,https://doi.org/10.1016/j.parco.2015.12.007,3.0,,,,,,,A - Innovative Computing,Out of scope for open access requirements,Yes,5.0,,,,3291135a-7569-47ab-a1fe-d25cdd76b7ea,0,0,1
175021,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,D,Two sides of the coin: measuring and communicating the trustworthiness of online information,,,Journal of Trust Management,1,1,5,,,2196-064X,10.1186/2196-064x-1-5,,May,2014.0,,4.0,,Yes,,,,,,Out of scope for open access requirements,Yes,,,,,ffc1a304-8db4-4d08-b4c3-2b95bc42a2bd,0,0,1
175048,10007792,University of Exeter,B,11,Computer Science and Informatics,,,,D,Two-Archive Evolutionary Algorithm for Constrained Multiobjective Optimization,,,IEEE Transactions on Evolutionary Computation,23,2,303,,,1089-778X,10.1109/TEVC.2018.2855411,,July,2018.0,,3.0,,,,,,,,Compliant,Yes,17.0,,,,239b8839-05b4-43de-afc1-f00e1061bd1d,0,0,1
175056,10007157,The University of Sheffield,B,11,Computer Science and Informatics,,,,D,Two-dimensional batch linear programming on the GPU,,,Journal of Parallel and Distributed Computing,126,,152,,,0743-7315,10.1016/j.jpdc.2019.01.001,,January,2019.0,,2.0,,,,,,,J - Visual Computing,Compliant,Yes,2.0,,,,a2e01683-41d8-40dd-a8ad-b1c5b62455c2,0,0,1
175083,10007807,University of Ulster,B,11,Computer Science and Informatics,,,,D,Two-Level Master-Slave RFID Networks Planning via Hybrid Multiobjective Artificial Bee Colony Optimizer,,,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",49,5,861,,,2168-2216,10.1109/TSMC.2017.2723483,,July,2017.0,,5.0,,,,,,,B - Artificial Intelligence Research Centre,Compliant,Yes,13.0,,,,759fbba6-6d8c-4ea0-b679-4f93347a9eab,0,0,1
175091,10007775,Queen Mary University of London,B,11,Computer Science and Informatics,,,,D,Two-Pass Rate Control for Improved Quality of Experience in UHDTV Delivery,,,IEEE Journal of Selected Topics in Signal Processing,11,1,1,,,1932-4553,10.1109/JSTSP.2016.2634458,,December,2016.0,,3.0,,,,,,,,Compliant,Yes,9.0,,,,0d3da927-ec49-4208-b411-a0df481d5d9f,0,0,1
175092,10007165,The University of Westminster,B,11,Computer Science and Informatics,,,,D,Two-Path All-pass Based Half-Band Infinite Impulse Response Decimation Filters and the Effects of Their Non-Linear Phase Response on ECG Signal Acquisition,,Elsevier,Biomedical Signal Processing & Control,31,,529,,,1746-8094,10.1016/j.bspc.2016.08.019,,October,2016.0,,2.0,,,,,,,,Compliant,Yes,3.0,,,,fc539846-c482-4236-b04e-5dfede135128,0,0,1
175105,10007784,University College London,B,11,Computer Science and Informatics,,,,D,Two-shot SVBRDF Capture for Stationary Materials,,,ACM Trans. Graph. (Proc. SIGGRAPH),34,4,110:1,110,,0730-0301,10.1145/2766967,,July,2015.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,43.0,,,,1532c099-bcbc-4a25-b720-6f91b425b388,0,0,1
175129,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,D,Two-Variable First-Order Logic with Equivalence Closure,,,SIAM Journal on Computing,43,3,1012,,,0097-5397,10.1137/120900095,,May,2014.0,,3.0,,,,,,,A - Computer Science,Out of scope for open access requirements,Yes,11.0,,,,78f7ad44-b806-4ec0-bca0-d6e4d08e1ea4,0,0,1
175146,10007788,University of Cambridge,B,11,Computer Science and Informatics,,,,D,Typal Heterogeneous Equality Types,,,ACM Transactions on Computational Logic,21,3,3,25,,1529-3785,10.1145/3379447,,April,2020.0,,0.0,,,,,,,,Compliant,Yes,0.0,,,,e15a0a9a-93a6-4b79-8e1c-36d1060722a0,0,0,1
175177,10007167,University of York,B,11,Computer Science and Informatics,,,,D,Type inference in flexible model-driven engineering using classification algorithms,,,International Journal on Software & Systems Modelling,18,1,345,,,1619-1366,10.1007/s10270-018-0658-5,,January,2018.0,,4.0,,,,,,,,Compliant,Yes,1.0,,,,4133d000-772f-42c1-88d6-491f30f38ba9,0,0,1
175178,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,D,Type Information Elimination from Objects on Architectures with Tagged Pointers Support,,,IEEE Transactions on Computers,67,1,130,,,0018-9340,10.1109/TC.2017.2709739,,June,2017.0,,4.0,,,,,,,A - Computer Science,Compliant,Yes,1.0,,,,065c5e94-a6bf-45c4-815c-dca87906dfbe,0,0,1
175179,10007154,"University of Nottingham, The",B,11,Computer Science and Informatics,,,,E,Type theory in type theory using quotient inductive types,,,POPL '16: Proceedings of the 43rd Annual ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,2016-Jan,,18,,,,10.1145/2837614.2837638,,January,2016.0,,1.0,,,,,,,,,Yes,13.0,,,,abcc440c-a5bc-4f69-b5d7-36506bc2004b,0,0,1
175181,10001883,De Montfort University,B,11,Computer Science and Informatics,,,,D,Type-2 Fuzzy Alpha-Cuts,,Institute of Electrical and Electronics Engineers (IEEE),IEEE Transactions on Fuzzy Systems,25,3,682,,,1063-6706,10.1109/TFUZZ.2016.2574914,,June,2016.0,,2.0,,,,,,,,Compliant,Yes,13.0,,,,4c64fdc4-f198-4db9-aa3a-edeb48d3e1b2,0,0,1
175182,10007856,Aberystwyth University / Prifysgol Aberystwyth,B,11,Computer Science and Informatics,,,,D,Type-2 Fuzzy Hybrid Controller Network for Robotic Systems,,,IEEE Transactions on Cybernetics,50,8,3778,,,2168-2267,10.1109/TCYB.2019.2919128,,July,2019.0,,5.0,,,,,,,,Compliant,Yes,5.0,,,,0c1cdc53-70e0-4d89-bf20-414102e970c2,0,0,1
175183,10001282,University of Northumbria at Newcastle,B,11,Computer Science and Informatics,,,,D,Type-2 Fuzzy Hybrid Controller Network for Robotic Systems,,,IEEE Transactions on Cybernetics,50,8,3778,,,2168-2267,10.1109/TCYB.2019.2919128,,July,2019.0,,5.0,,,,,,,D - Computer Vision and Natural Computing (CVNC),Compliant,Yes,5.0,,,,a2fa9496-4b51-46a1-bbf4-436274f438d7,0,0,1
175186,10007794,University of Glasgow,B,11,Computer Science and Informatics,,,,D,Typechecking protocols with Mungo and StMungo: a session type toolchain for Java,,,Science of Computer Programming,155,,52,,,0167-6423,10.1016/j.scico.2017.10.006,,April,2018.0,http://eprints.gla.ac.uk/150069/,3.0,,,,,,,,Compliant,Yes,5.0,,,,a36687b2-7efa-4230-8762-0145f9f7067c,0,0,1
175187,10003645,King's College London,B,11,Computer Science and Informatics,,,,D,Typed Nominal Rewriting,,,ACM Transactions on Computational Logic,19,1,1,,,1529-3785,10.1145/3161558,,February,2018.0,,1.0,,,,,,,,Compliant,Yes,1.0,,,,48faefb9-20da-4835-bcce-a0b30c985e9a,0,0,1
175188,10007764,Heriot-Watt University,B,11,Computer Science and Informatics,,,,D,Type-driven data layouts for improved vectorisation,,,Concurrency and Computation: Practice and Experience,28,,2092,,,1532-0626,10.1002/cpe.3501,,May,2015.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,1.0,,,,6ff80124-0a88-4806-bda1-214e839bf905,0,0,1
175191,10001883,De Montfort University,B,11,Computer Science and Informatics,,,,D,Type-Reduced Set structure and the truncated type-2 fuzzy set,,Elsevier BV,Fuzzy Sets and Systems,352,,119,,,0165-0114,10.1016/j.fss.2018.02.012,,February,2018.0,,1.0,,,,,,,,Compliant,Yes,7.0,,,,cd7527da-350e-48c3-b524-6858769f00f0,0,0,1
175194,10007150,The University of Kent,B,11,Computer Science and Informatics,,,,E,Types from data: making structured data first-class citizens in F#,,,Proceedings of the 37th ACM SIGPLAN Conference on Programming Language Design and Implementation - PLDI 2016,,,477,,,0362-1340,10.1145/2908080.2908115,,June,2016.0,https://kar.kent.ac.uk/67140/,2.0,,,,,,,,Compliant,Yes,3.0,,,,3db647ce-3865-492b-a5a8-e051a324e759,0,0,1
175236,10007856,Aberystwyth University / Prifysgol Aberystwyth,B,11,Computer Science and Informatics,,,,D,"UAV photogrammetry and structure from motion to assess calving dynamics at Store Glacier, a large outlet draining the Greenland ice sheet",,,Cryosphere,9,1,1,,,1994-0416,10.5194/tc-9-1-2015,,January,2015.0,,7.0,,,,,,,,Out of scope for open access requirements,Yes,130.0,,,,0788341c-e0bf-451a-b2aa-0ce1c5966842,0,0,1
175349,10007790,University of Edinburgh,B,11,Computer Science and Informatics,,,,D,Ultimate classical communication rates of quantum optical channels,,,Nature Photonics,8,10,796,,,1749-4893,10.1038/nphoton.2014.216,,September,2014.0,,3.0,,,,,,,C - Foundations of Computation,Out of scope for open access requirements,Yes,98.0,,,,21dc358e-992e-4fea-afec-357dbc97c9f8,0,0,1
175354,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,E,Ultimate Positivity is Decidable for Simple Linear Recurrence Sequences,,,"AUTOMATA, LANGUAGES, AND PROGRAMMING (ICALP 2014), PT II",8573,PART 2,330,,,0302-9743,10.1007/978-3-662-43951-7_28,,,2014.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,13.0,,,,c57cc843-55f8-4f86-8ecf-2c4b1c3969e3,0,0,1
175355,10007167,University of York,B,11,Computer Science and Informatics,,,,D,Ultimate Precision of Adaptive Noise Estimation,,,Physical Review Letters,118,,,100502,,0031-9007,10.1103/PhysRevLett.118.100502,,March,2017.0,,1.0,,,,,,,,Compliant,Yes,42.0,,,,0ab891cf-d583-45f8-bae9-f4a09e027be5,0,0,1
175361,10007165,The University of Westminster,B,11,Computer Science and Informatics,,,,D,Ultra Compact Inline E-Plane Waveguide Bandpass Filters Using Cross Coupling,,IEEE,IEEE Transactions on Microwave Theory and Techniques,64,8,2561,,,0018-9480,10.1109/TMTT.2016.2578329,,June,2016.0,,3.0,,,,,,,,Compliant,Yes,7.0,,,,6feea68c-e9d3-45d7-b334-95c1e4dabf1e,0,0,1
175525,10007156,"University of Salford, The",B,11,Computer Science and Informatics,,,,D,Ultrasound reports standardisation using rhetorical structure theory and domain ontology,,,Journal of Biomedical Informatics: X,1,,,100003,,2590-177X,10.1016/j.yjbinx.2019.100003,,February,2019.0,,1.0,,,,,,,,Compliant,Yes,,,,,de8740d4-3178-4ce8-8bf5-d9a942bd2ac7,0,0,0
175531,10007155,University of Portsmouth,B,11,Computer Science and Informatics,,,,D,Ultrasound-based sensing models for finger motion classification,,,IEEE Journal of Biomedical and Health Informatics,22,5,1395,,,2168-2194,10.1109/JBHI.2017.2766249,,October,2017.0,,5.0,,Yes,,,,,B - Computational Intelligence,Not compliant,Yes,27.0,,,,9853d119-415f-4dad-b5ae-85d1c8f1b6dc,0,0,1
175546,10003270,"Imperial College of Science, Technology and Medicine",B,11,Computer Science and Informatics,,,,D,Ultra-strong machine learning: comprehensibility of programs learned with ILP,,,Machine Learning,107,7,1119,7,,0885-6125,10.1007/s10994-018-5707-3,,May,2018.0,,4.0,,,,,,,,Compliant,Yes,15.0,,10.1007/s10994-018-5707-3,,bb868139-ddf1-4867-97f1-3b0405814c50,0,0,1
175578,10007807,University of Ulster,B,11,Computer Science and Informatics,,,,D,uMoDT: an unobtrusive multi-occupant detection and tracking using robust Kalman filter for real-time activity recognition,,,Multimedia Systems,26,5,553,,,0942-4962,10.1007/s00530-020-00664-7,,June,2020.0,,7.0,,,,,,,C - Pervasive Computing Research Centre,Compliant,Yes,1.0,,,,bd8d17a2-08e7-459a-b3c1-30846e6f72f0,0,0,1
175619,10007790,University of Edinburgh,B,11,Computer Science and Informatics,,,,D,Unbiased Bayesian inference for population Markov jump processes via random truncations,,,Statistics and Computing,27,4,991,,,0960-3174,10.1007/s11222-016-9667-9,,June,2016.0,,2.0,,,,,,,B - Data Science and Artificial Intelligence,Compliant,Yes,2.0,,,,fd363be1-4743-42fc-bcb9-77e3d6cee9c3,0,0,1
175625,10007784,University College London,B,11,Computer Science and Informatics,,,,D,Unbounded number of channel uses may be required to detect quantum capacity,,,NATURE COMMUNICATIONS,6,1,,ARTN 6739,,2041-1723,10.1038/ncomms7739,,March,2015.0,,5.0,,,,,,,,Out of scope for open access requirements,Yes,35.0,,https://static-content.springer.com/esm/art%3A10.1038%2Fncomms7739/MediaObjects/41467_2015_BFncomms7739_MOESM82_ESM.pdf,,4b72b0c5-c04d-4811-8595-8ce173123bd7,0,0,1
175628,10005553,Royal Holloway and Bedford New College,B,11,Computer Science and Informatics,,,,E,Unboundedness and downward closures of higher-order pushdown automata,,,Principles of Programming Languages : POPL '16,,,151,,,,10.1145/2837614.2837627,,January,2016.0,,2.0,,,,,,,,,Yes,7.0,,,,d64d6ccb-e298-49a1-8a64-722d53ee48e0,0,0,1
175649,10007794,University of Glasgow,B,11,Computer Science and Informatics,,,,E,Uncertain text entry on mobile devices,,,CHI 2014: ACM CHI Conference on Human Factors in Computing Systems,,,2307,,,,10.1145/2556288.2557412,,,2014.0,http://eprints.gla.ac.uk/89637/,4.0,,,,,,,,,Yes,,,,,1fa9e64b-7d27-4110-ae2a-710ab03cc6c6,0,0,1
175666,10007157,The University of Sheffield,B,11,Computer Science and Informatics,,,,D,Uncertainty and variability in models of the cardiac action potential: Can we build trustworthy models?,,,Journal of Molecular and Cellular Cardiology,96,,49,,,1095-8584,10.1016/j.yjmcc.2015.11.018,,December,2015.0,,7.0,,,,,,,B - Complex Systems Modelling,Out of scope for open access requirements,Yes,57.0,,,,c484379d-10f1-46a8-9f58-b03e7286d385,0,0,1
175667,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,D,Uncertainty and variability in models of the cardiac action potential: Can we build trustworthy models?,,,Journal of Molecular and Cellular Cardiology,96,,49,,,1095-8584,,,December,2015.0,,7.0,,Yes,,,,,,Out of scope for open access requirements,Yes,57.0,,https://www.sciencedirect.com/science/article/pii/S0022282815301231#s0135,,aa22c5b9-9633-45fa-b779-b4db481309a9,0,0,1
175693,10007158,University of Southampton,B,11,Computer Science and Informatics,,,,D,Uncertainty quantification for radio interferometric imaging: II. MAP estimation,,,Monthly Notices of the Royal Astronomical Society,480,3,4170,,,0035-8711,10.1093/MNRAS/STY2015,,August,2018.0,,2.0,,,,,,,,Technical exception,Yes,7.0,,,,2edb7e7a-48b8-4a19-bf24-0589e5a6bdb7,0,0,1
175697,10001883,De Montfort University,B,11,Computer Science and Informatics,,,,D,Uncertainty Representation of Grey Numbers and Grey Sets,,,IEEE Transactions on Cybernetics,44,9,1508,,,2168-2267,10.1109/TCYB.2013.2288731,,September,2014.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,17.0,,,,93a6b2d0-ec82-481e-aaa9-72f66bb7dc70,0,0,1
175703,10007784,University College London,B,11,Computer Science and Informatics,,,,E,"Uncertainty, Risk, and Information Value in Software Requirements and Architecture",,,Proceedings of the 36$^\textth$ International Conference on Software Engineering (ICSE’14),,1,883,,,0270-5257,10.1145/2568225.2568239,,,2014.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,44.0,,,,9c19a3d2-4e70-4843-a92d-a6e1faf3c02e,0,0,1
175720,10007790,University of Edinburgh,B,11,Computer Science and Informatics,,,,D,Unconditionally verifiable blind quantum computation,,,Physical Review A,96,1,,012303,,1050-2947,10.1103/PhysRevA.96.012303,,July,2017.0,,1.0,,,,,,,C - Foundations of Computation,Compliant,Yes,59.0,,,,ce65b163-e92b-4077-b56e-26f61caa1ea0,0,0,1
175729,10007151,University of Lincoln,B,11,Computer Science and Informatics,,,,D,Unconstrained video monitoring of breathing behavior and application to diagnosis of sleep apnea,,,IEEE Transactions on Biomedical Engineering,61,2,396,,,0018-9294,10.1109/TBME.2013.2280132,,February,2014.0,http://dx.doi.org/10.1109/TBME.2013.2280132,3.0,,,,,,,,Out of scope for open access requirements,Yes,38.0,,,,2cdbd416-543e-48f6-800e-66b800c4dd87,0,0,0
175774,10007792,University of Exeter,B,11,Computer Science and Informatics,,,,D,Uncovering the differences and similarities between physical and virtual mobility,,,Journal of the Royal Society Interface,17,168,,ARTN 20200250,,1742-5689,10.1098/rsif.2020.0250,,July,2020.0,,4.0,,,,,,,,Compliant,Yes,0.0,,,,f7fc5582-44ba-4bfe-8206-be7f4a3b7706,0,0,1
175779,10007784,University College London,B,11,Computer Science and Informatics,,,,D,Uncovering the heterogeneity and temporal complexity of neurodegenerative diseases with Subtype and Stage Inference,,,Nature Commun,9,1,4273,ARTN 4273,,2041-1723,10.1038/s41467-018-05892-0,,October,2018.0,,10.0,,,,,,,,Compliant,Yes,44.0,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-018-05892-0/MediaObjects/41467_2018_5892_MOESM1_ESM.pdf,,6c92f62a-3785-4728-8702-7b116dc8badb,0,0,1
175801,10007855,Swansea University / Prifysgol Abertawe,B,11,Computer Science and Informatics,,,,E,Undecidability of Equality for Codata Types,Cham,Springer International Publishing,Coalgebraic Methods in Computer Science,11202,,34,,9783030003883,0302-9743,10.1007/978-3-030-00389-0_4,,September,2018.0,,,,,,,,,,Compliant,Yes,1.0,,,,6b211fdc-4ced-4b6f-85fc-cc3e324ff1c2,0,0,1
175802,10007784,University College London,B,11,Computer Science and Informatics,,,,D,Undecidability of the spectral gap,,,NATURE,528,7581,207,,,0028-0836,10.1038/nature16059,,December,2015.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,72.0,,https://static-content.springer.com/esm/art%3A10.1038%2Fnature16059/MediaObjects/41586_2015_BFnature16059_MOESM67_ESM.pdf,,63873edf-4457-4e2f-b9bf-6062ce47ced0,0,0,1
